,rank,coordX,coordY,penalty,FinalScore
29,0.0,-0.01926320791244507,-0.01759544014930725,0.0,0.0
30,0.0,-0.01875653862953186,-0.017523854970932007,0.0,0.0
31,0.0,-0.018186867237091064,-0.017290189862251282,0.0,0.0
32,0.0,-0.01702749729156494,-0.016851872205734253,0.0,0.0
33,0.0,-0.015874236822128296,-0.016428634524345398,0.0,0.0
34,0.0,-0.014552712440490723,-0.015865176916122437,0.0,0.0
35,0.0,-0.013581663370132446,-0.01546826958656311,0.0,0.0
36,0.0,-0.012662947177886963,-0.015150278806686401,0.0,0.0
37,0.0,-0.011835694313049316,-0.014921560883522034,0.0,0.0
38,0.0,-0.011196613311767578,-0.01481473445892334,0.0,0.0
39,0.0,-0.010985016822814941,-0.014858841896057129,0.0,0.0
40,0.0,-0.010877907276153564,-0.014599233865737915,0.0,0.0
41,0.0,-0.009334444999694824,-0.013896405696868896,0.0,0.0
42,0.0,-0.009569346904754639,-0.013941168785095215,0.0,0.0
43,0.0,-0.009782552719116211,-0.013788402080535889,0.0,0.0
44,0.0,-0.010361284017562866,-0.013640791177749634,0.0,0.0
45,0.0,-0.01003497838973999,-0.013138681650161743,0.0,0.0
46,0.0,-0.010103285312652588,-0.013100698590278625,0.0,0.0
47,0.0,-0.0110551118850708,-0.013527661561965942,0.0,0.0
48,0.0,-0.01155957579612732,-0.013789728283882141,0.0,0.0
49,0.0,-0.011583060026168823,-0.014044240117073059,0.0,0.0
50,0.0,-0.012250423431396484,-0.014590337872505188,0.0,0.0
51,0.0,-0.012592107057571411,-0.01489989459514618,0.0,0.0
52,0.0,-0.013319730758666992,-0.015331000089645386,0.0,0.0
53,0.0,-0.014501780271530151,-0.016000330448150635,0.0,0.0
54,0.0,-0.013069450855255127,-0.01515592634677887,0.0,0.0
55,0.0,-0.013788938522338867,-0.015557989478111267,0.0,0.0
56,0.0,-0.011952847242355347,-0.014695659279823303,0.0,0.0
57,0.0,-0.011540889739990234,-0.014642298221588135,0.0,0.0
58,0.0,-0.013413786888122559,-0.01497611403465271,0.0,0.0
59,0.0,-0.011811047792434692,-0.014122456312179565,0.0,0.0
60,0.0,-0.011696934700012207,-0.01416313648223877,0.0,0.0
61,0.0,-0.011163592338562012,-0.013931915163993835,0.0,0.0
62,0.0,-0.010548949241638184,-0.013752445578575134,0.0,0.0
